IdVoie,TypeVoie,Voie
554,AV,DE LA REPUBLIQUE
555,AV,MISS CAVELL
556,RUE,JEAN LE GALLEU
557,RUE,GUY GOUYON DU VERGER
558,RUE,GABRIEL PERI
560,ALL,DES PLATANES
563,RUE,DE LA RENARDIERE
564,RUE,AMIRAL COURBET
566,RUE,GUY SOURCIS
567,RUE,DE L HOTEL DE VILLE
568,RUE,DU BAS BORD EAU
570,RUE,BONNE RENCONTRE
572,RUE,DU MARECHAL FOCH
573,RUE,DU TEMPLE
574,RUE,DE CONSTANTINOPLE
575,PL,DES VICTOIRES
576,RUE,QUINCAMPOIX
577,RUE,DE BUCI
578,RUE,DU CHERCHE MIDI
579,RUE,DE SEINE
580,RUE,GAY LUSSAC
581,BD,DE MAGENTA
582,RUE,DU FBG ST MARTIN
583,RUE,PIERRE CHAUSSON
585,RUE,DU FBG DU TEMPLE
587,RUE,MAILLARD
588,RUE,DE LA FOLIE MERICOURT
589,PAS,DU CHEMIN VERT
591,RUE,CROZATIER
592,PAS,CHARLES DALLERY
594,RUE,LOUIS BRAILLE
595,RUE,POPINCOURT
596,RUE,VICTOR CHEVREUIL
597,RUE,BASFROI
598,RUE,DU MARCHE POPINCOURT
599,RUE,DE LA PIERRE LEVEE
600,RUE,BRILLAT SAVARIN
601,RUE,VULPIAN
602,AV,DES GOBELINS
603,RUE,NICOLAS RORET
604,RUE,HENRI REGNAULT
605,RUE,FROIDEVAUX
606,RUE,DE L AVRE
607,RUE,DOMBASLE
608,RUE,DE LA CROIX NIVERT
609,AV,DE SAXE
610,RUE,LANTIEZ
611,RUE,DU CAPITAINE LAGACHE
612,RUE,BOURSAULT
613,RUE,SAUFFROY
614,RUE,DE CLIGNANCOURT
615,RUE,DU RUISSEAU
616,RUE,DES ROSES
617,RUE,ERNESTINE
618,RUE,EUGENE SUE
619,RUE,CHAMPIONNET
620,RUE,PHILIPPE DE GIRARD
621,RUE,DE SUEZ
622,RUE,JOSEPH DIJON
623,RUE,DU TUNNEL
624,RUE,ARMAND CARREL
625,RUE,DE NANTES
626,RUE,REBEVAL
627,RUE,COURAT
629,RUE,MALTE BRUN
631,RUE,EUGENE JUMIN
632,RUE,DE CRIMEE
633,RUE,DE LA MICHODIERE
634,QUAI,DE BOURBON
635,PAS,DU BOURG L ABBE
636,RUE,VIEILLE DU TEMPLE
637,RUE,DU RECULET
639,RUE,TANNERIE
640,ALL,DE PROVENCE
641,BD,GENERAL LOUIS DELFINO
642,AV,DE FABRON
643,AV,DE   VALBERG
644,BD,NAPOLEON III
645,RUE,SAINT  JEAN
646,BD,MARECHAL JOFFRE
647,AV,GEN DE GAULLE
649,RUE,GRANDE RUE
650,RUE,BERNEX
653,AV,DU PRADO
655,,MONT CANISY
656,RUE,DES GENTILSHOMMES
657,RUE,DU MARECHAL LYAUTEY
658,RUE,CLAUDE POUILLET
659,RUE,DU QUARTIER DE LA CHAPOTTE
660,RUE,JEAN MONNET
661,RUE,FRED SCAMARONI
662,,MACINA
663,PL,HUBERT ROUGER
664,RUE,DES MENUTS
666,RTE,DE SAINT ROMAIN
667,RUE,DES ARTS
668,PL,DE LA MAIRIE
669,RUE,CHARLES GILLE
670,RUE,GIRAUDEAU
671,CRS,JEAN JAURES
672,BD,EDOUARD REY
674,AV,DU TOUR DU LAC
675,RUE,DENIS PAPIN
676,RTE,DE VANNES
677,RUE,DE LA CHAPELLE
678,RUE,LAREVELLIERE
679,RUE,VALDEMAINE
680,BD,D ALSACE LORRAINE
682,RUE,GUSTAVE SIMON
683,RUE,DE L'EPINETTE
684,RUE,NEGRIER
685,RUE,DE WAZEMMES
686,AV,SIMONE
687,RUE,DE PONT A MARCQ
688,RUE,DE RONCQ
689,,CHATEAU DE VILLETTE
690,RUE,DE LA CLAIRE
691,BD,DE LA CROIX ROUSSE
692,PL,MARCEL BERTONE
693,RUE,JUIVERIE
694,RUE,IMBERT COLOMES
695,QUAI,PIERRE SCIZE
696,AV,BERTHELOT
697,RUE,COLIN
698,RTE,DE PONTCHARRA
699,RUE,JULES JEANNENEY
700,RUE,DE DIJON
701,RUE,DE LA PAIX
702,ALL,DES CEDRES
703,RTE,DE SAINT GERVAIS
704,RUE,MAL GALLIENI
705,RUE,DE LA CROIX
706,RUE,DU PALAIS DE JUSTICE
708,RUE,DES VIGNOBLES
709,CLOS,DU ROY
710,RUE,DE METZ
711,RUE,DE MANTES
712,AV,DE NOAILLES
713,RUE,MAZIERES
715,RUE,DE L ANCIEN THEATRE
716,RUE,DU REAL
717,RUE,DU PUISATIER
718,PL,JEAN JAURES
719,RUE,DES COTEAUX ENSOLEILLES
721,RUE,DES PAROISSIENS MFT
722,RTE,DE MONTMIRAIL
724,RUE,DE LA MAIX
726,AV,DU MAL DE LATTRE
727,RUE,DES BOULEAUX
728,RUE,DES VALLEES
729,RUE,D'ESTIENNE D'ORVES
730,RUE,RAPHAEL
731,RUE,BOILEAU
732,RUE,DE LA CHARRONNERIE
733,RUE,DE LA MONTGOLFIERE
734,BD,DE BELLECHASSE
735,RUE,DU ONZE NOVEMBRE 1918
736,BD,GAMBETTA
737,RUE,DE LA ROCHE
738,RUE,DE ROUEN
739,ALL,VIOLLET LE DUC
740,AV,LA DIVISION LECLERC
741,RUE,MONTHYON
742,RUE,MAZARINE
743,RUE,LACEPEDE
744,RUE,DE SAVOIE
746,RUE,LUCIEN SAMPAIX
747,RUE,DE TOUL
748,RUE,DE LA COLONIE
749,RUE,BOUSSINGAULT
750,RUE,PAUL FORT
751,RUE,DU COMMANDT RENE MOUCHOTTE
752,RUE,ALPHONSE DAUDET
753,RUE,PECLET
754,RUE,ERNEST RENAN
755,RUE,HUMBLOT
758,RUE,CHERNOVIZ
759,BD,MURAT
760,RUE,LEBON
761,BD,DE CLICHY
762,RUE,ORDENER
763,BD,DE MENILMONTANT
764,RUE,RIQUET
766,RUE,FERDINAND DUVAL
767,RUE,JEAN DE GINGINS
768,ALL,DU JARDIN
769,,SORBELLA
770,AV,LAHARIE
772,RUE,DU MORVAN
773,RUE,DE LA TOUCHE
774,RUE,DES COQUELICOTS
775,ALL,DES SAPINS
776,ALL,DES CAPUCINES
777,RUE,AUGUSTE COMTE
778,RUE,CONDORCET
779,RUE,DES MARAICHERS
780,ALL,DE LA CLE DES CHAMPS
781,CR,DE LA PRAHOVA
782,RUE,F DUREAU
783,,LE PLAN
784,RTE,DE POUGNY
785,RES,PRA CHAUVET
787,BD,STALINGRAD
789,AV,DU CHATEAU
790,RUE,PENCHIENATTI
791,RUE,SORGENTINO
792,AV,URBAIN BOSIO
793,AV,ANGELIQUE BRAQUET
795,RUE,PARTOUNEAUX
796,RUE,DU PFR CALMETTE
797,RUE,PDT DOUMERGUE
798,RUE,DU SERRE
799,RUE,DE LA CAROUTE
800,CHE,BASSES BREGUIERES
801,RUE,AUBERNON
802,AV,GASTON DE FONTMICHEL
803,BD,DE LA REPUBLIQUE
804,AV,JACQUES-YVES COUSTEAU
805,CRS,DU PALAIS
806,RUE,ARISTIDE BRIAND
807,,LA PINEDE
808,RES,LES MARINAS DE PORT ROSE
809,BD,ESCHASSERIAUX
810,RUE,DU BEAUPRE
811,RES,TERRASSES MEDITERRANEE 1
812,RUE,BAUDIN
813,RUE,SENAC
814,RUE,LAUTARD
815,RUE,DU GD CAVAILLON
816,RUE,LIANDIER
817,TRA,DE POMEGUES
819,BD,DE LA POMME
822,RUE,DES BAINS
823,RTE,DE DIVES
824,VC,RES LE CAP BLEU
825,RUE,DUMONT D URVILLE
826,AV,DE NAVARRE
827,RUE,ANDRE GABARET
828,RUE,DE NORVEGE
829,RUE,DUGUAY TROUIN
831,RUE,PIERRE JULIEN
832,RTE,DES ROCHES JAUNES
833,,LES RIVAGES DE LA STAGNOLA
835,,PADULACCIA
837,AV,DE L HERMIONE
838,QUAI,COLBERT
839,RUE,DU FENOUIL
840,RUE,DHUODA
841,AV,DE LA PINEDE
842,CHE,DE VACARESSE
843,RUE,BROUARDEL
844,CHE,DES FONTANELLES
845,AV,DE LA LIBERATION
846,RUE,ALBERT PITRES
847,RUE,RAYMOND POINCARE
848,RUE,DE LA MISERICORDE
849,RUE,DU JARDIN DES HORTENSIAS
850,RUE,TEULERE
851,RUE,RIAUSAC
852,AV,DOCTEUR NANCEL PENARD
