IdMutation,DateMutation,ValeurFonciere,TypeMutation,IdLogement
512,2020-06-17,215000.0,Vente,500
513,2020-06-15,90000.0,Vente,501
514,2020-02-18,129258.0,Vente,502
515,2020-02-14,72000.0,Vente,503
516,2020-03-14,94000.0,Vente,504
517,2020-06-03,110000.0,Vente,505
518,2020-05-29,79062.0,Vente,506
519,2020-05-29,242500.0,Vente,507
520,2020-05-27,290000.0,Vente,508
521,2020-01-30,78500.0,Vente,509
522,2020-02-05,80000.0,Vente,510
523,2020-03-10,458250.0,Vente,511
524,2020-05-14,292460.0,Vente,512
525,2020-02-28,210000.0,Vente,513
526,2020-02-21,310000.0,Vente,514
527,2020-02-20,505000.0,Vente,515
528,2020-02-25,442100.0,Vente,516
529,2020-02-27,315800.0,Vente,517
530,2020-02-28,167000.0,Vente,518
531,2020-06-11,64500.0,Vente,519
532,2020-05-18,218700.0,Vente,520
533,2020-05-27,146760.0,Vente,521
534,2020-06-26,90000.0,Vente,522
535,2020-04-30,2696100.0,Vente,523
536,2020-05-19,840000.0,Vente,524
537,2020-02-25,640000.0,Vente,525
538,2020-03-04,232550.0,Vente,526
539,2020-03-04,90000.0,Vente,527
540,2020-03-25,132300.0,Vente,528
541,2020-03-09,282000.0,Vente,529
542,2020-03-03,152000.0,Vente,530
543,2020-03-10,222450.0,Vente,531
544,2020-03-17,164000.0,Vente,532
545,2020-03-05,389500.0,Vente,533
546,2020-05-27,95000.0,Vente,534
547,2020-02-11,420000.0,Vente,535
548,2020-06-05,425000.0,Vente,536
549,2020-01-08,97500.0,Vente,537
550,2020-01-31,118000.0,Vente,538
551,2020-01-24,41500.0,Vente,539
552,2020-02-28,28000.0,Vente,540
553,2020-01-10,138000.0,Vente,541
554,2020-02-11,248000.0,Vente,542
555,2020-06-13,320000.0,Vente,543
556,2020-06-05,126500.0,Vente,544
557,2020-01-22,132600.0,Vente,545
558,2020-05-13,130180.0,Vente,546
559,2020-06-29,213000.0,Vente,547
560,2020-04-03,45500.0,Vente,548
561,2020-01-31,87000.0,Vente,549
562,2020-05-22,130500.0,Vente,550
563,2020-06-08,117000.0,Vente,551
564,2020-06-17,70000.0,Vente,552
565,2020-02-10,168000.0,Vente,553
566,2020-04-21,192000.0,Vente,554
567,2020-02-21,87500.0,Vente,555
568,2020-04-30,83100.0,Vente,556
569,2020-05-18,103326.0,Vente,557
570,2020-01-17,96000.0,Vente,558
571,2020-05-20,81000.0,Vente,559
572,2020-05-28,262000.0,Vente,560
573,2020-06-19,92000.0,Vente,561
574,2020-05-25,118250.0,Vente,562
575,2020-05-26,492564.0,Vente,563
576,2020-05-28,460000.0,Vente,564
577,2020-01-20,100000.0,Vente,565
578,2020-01-22,109000.0,Vente,566
579,2020-05-18,165000.0,Vente,567
580,2020-05-20,126000.0,Vente,568
581,2020-06-29,147400.0,Vente,569
582,2020-03-16,264500.0,Vente,570
583,2020-03-26,86000.0,Vente,571
584,2020-05-12,89000.0,Vente,572
585,2020-01-31,202000.0,Vente,573
586,2020-02-03,128500.0,Vente,574
587,2020-02-03,169000.0,Vente,575
588,2020-02-03,382000.0,Vente,576
589,2020-03-11,156500.0,Vente,577
590,2020-05-20,324000.0,Vente,578
591,2020-01-10,230000.0,Vente,579
592,2020-06-19,131000.0,Vente,580
593,2020-06-25,129000.0,Vente,581
