IdVoie,TypeVoie,Voie
799,ESC,DE LA GARE
800,RUE,FALICON
801,,LA REONNE
802,BD,DU DOC ROUX
803,AV,DE LA LIBERATION
804,,LA COLMIANE
805,PROM,DES MARINIERES
806,RUE,DU   SAINT  HONORAT
807,RUE,SCUDERI
808,BD,PAUL DEROULEDE
809,AV,MAL FOCH
810,RUE,SALISBURY
811,RUE,DE L ESQUIAOU
812,RUE,EDITH DUHAMEL
813,CHE,DES OLIVIERS
814,AV,ALBERT 1ER
815,RUE,LIEUTENANT COLONELLI
816,AV,EDITH CAVELL
817,RUE,DU CHANOINE TH.GIAUME
818,RUE,SAINT  JEAN
819,ALL,HENRI MARESCALCHI
820,,VILLAGE DE TOUDON
821,RUE,DUJARDIN BEAUMETZ
822,BD,MARECHAL JOFFRE
823,,LE PLATEAU D AURON
824,AV,JACQUES ABBA
825,ALL,DE VERDUN
826,RTE,DEPARTEMENTALE 2204
827,RUE,PLANE
828,BD,D ALSACE LORRAINE
829,RUE,GAUTIER VIGNAL
830,RUE,SAINT ANTOINE
831,AV,DENIS SEMERIA
832,,PEIRA CAVA CENTRE
833,,SERRE DE NAIRAUD
834,RUE,CHARLES ROUX
835,PL,DU   MERCANTOUR
836,AV,CHARLES DE CAQUERAY
837,RUE,DE  LA  CHABRIETTE
838,MTE,PAULINE
839,RUE,DU DOCTEUR MORIEZ
840,AV,DE LA BARMASSA
841,CHE,DU CAYRE
842,AV,RAYMOND GRAMAGLIA
843,CHE,DES VIGNASSES
844,RUE,DE LA TERRASSE
845,RUE,DOMINIQUE DURANDY
846,RUE,NAPOLEON III
847,,LA VILLE
848,RUE,DROITE
849,RTE,DE PONT DE CLANS
850,RTE,DE SCLOS
851,PL,DU 8 MAI
852,RUE,DOCTEUR CAGNOLI
853,PROM,DU LAC DU BOREON
854,,CONDAMINE
855,RLE,DU MARCHE
856,BD,SAINT YSICIUS
857,RUE,ETIENNE CURTI
858,RUE,DU SERRE
859,CHE,DU LIDO
860,RUE,ANFOSSI
861,RUE,CHARLES BINET
862,RUE,DU DOC GENTE
863,BD,FRANCOIS DE MAY
864,RUE,DES DEUX FRERES FUNEL
865,AV,GEN GALLIENI
866,AV,FRANCOIS FERRY
867,,VIEUX VILLAGE
868,AV,DE LA GRANDE BRETAGNE
869,CHE,DE ST MICHEL CAP ROUX
870,AV,PORTE DES ALPES
871,CHE,DU PUITS DU PLAN
872,AV,DE LA LIBERTE
873,AV,NIQUET
874,BD,EDOUARD BAUDOIN
875,AV,DE LA ROSTAGNE
876,AV,GEORGES CLEMENCEAU
877,BD,DUGOMMIER
878,RTE,DES BREGUIERES
879,CHE,DE BEAUVERT
880,AV,DE BELGIQUE
881,RTE,DE CANNES
882,AV,DES JASMINS
883,RTE,DE SAINT JEAN
884,TRA,DES BRUNETTES
885,CHE,DU VALBOSQUET
886,AV,ANCIENS COMBATTANTS AFR N
